         146821799 function calls (146743265 primitive calls) in 2787.572 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   877479    0.490    0.000    0.746    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:515(__getitem__)
   127372    0.470    0.000    1.458    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:975(_setitem_when_not_present)
   718794    0.468    0.000    0.986    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:354(lower)
     6120    0.454    0.000    0.546    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:92(_expand_repeated_content)
       30    0.442    0.015    0.683    0.023 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:100(get_branch_dual_normal)
       15    0.440    0.029    0.710    0.047 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:146(get_branch_dual_cont)
        2    0.438    0.219    1.584    0.792 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:456(_process_soln_mip)
2341533/2340360    0.416    0.000    0.417    0.000 {built-in method builtins.len}
       15    0.387    0.026    0.718    0.048 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:67(get_branch_pf_cont)
   695275    0.374    0.000    1.817    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3895(<genexpr>)
   123560    0.370    0.000    0.912    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:273(__getattr__)
   127369    0.349    0.000    2.929    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\initializer.py:244(__call__)
   553484    0.339    0.000    0.797    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:368(upper)
   485212    0.333    0.000    2.356    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1351(_component_data_iter)
     6120    0.332    0.000   26.000    0.004 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
    39180    0.323    0.000    1.804    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:26(expand_element)
   485318    0.315    0.000    1.835    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:495(<genexpr>)
  1315817    0.309    0.000    0.309    0.000 {method 'get' of 'dict' objects}
        3    0.302    0.101    0.302    0.101 {built-in method _winapi.CreateProcess}
    19234    0.274    0.000    0.274    0.000 {method 'read' of '_io.BufferedReader' objects}
  2065228    0.274    0.000    0.274    0.000 {method 'pop' of 'list' objects}
     6120    0.262    0.000   18.155    0.003 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:59(<listcomp>)
     6120    0.257    0.000    0.258    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:75(update)
     8295    0.249    0.000    0.269    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:500(braSCapN_rule)
   520612    0.246    0.000    0.868    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:149(has_lb)
  1006947    0.242    0.000    0.242    0.000 {method 'split' of 'str' objects}
  1783232    0.230    0.000    0.230    0.000 {built-in method builtins.id}
   247244    0.224    0.000    0.310    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:367(_convert)
   485212    0.219    0.000    2.575    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1425(component_data_objects)
   220030    0.215    0.000    0.215    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:141(alias)
   718794    0.215    0.000    0.215    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:324(_lb)
   246992    0.215    0.000    0.782    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:458(ub)
   246992    0.212    0.000    0.779    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:445(lb)
       29    0.206    0.007    5.016    0.173 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:701(construct)
   217740    0.201    0.000    0.245    0.000 C:\ANACONDA3\lib\copy.py:242(_keep_alive)
   392166    0.198    0.000    0.730    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:154(has_ub)
      330    0.198    0.001    6.990    0.021 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:37(trace_pf)
   343590    0.196    0.000    0.205    0.000 {built-in method builtins.next}
        2    0.186    0.093    0.315    0.157 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:440(select)
   493984    0.182    0.000    0.182    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:572(<listcomp>)
     4560    0.171    0.000    0.176    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:435(flexQup_rule)
    17945    0.169    0.000    0.169    0.000 {built-in method _codecs.charmap_decode}
    69420    0.168    0.000    0.168    0.000 {built-in method _codecs.charmap_encode}
        1    0.168    0.168    0.177    0.177 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:72(readVarPara)
   642390    0.166    0.000    0.166    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:20(__init__)
        2    0.163    0.082    0.679    0.340 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:324(add_solution)
     4560    0.157    0.000    0.366    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:607(nodeBalanceQ_rule)
   220028    0.154    0.000    0.154    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:408(equality)
   553484    0.153    0.000    0.153    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:339(_ub)
        1    0.151    0.151    0.158    0.158 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:208(_create_edges_graph)
   123560    0.144    0.000    0.338    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:317(__getitem__)
