         11604343 function calls (11594829 primitive calls) in 2259.296 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15000    0.022    0.000    0.034    0.000 {method 'decode' of 'bytes' objects}
      480    0.021    0.000    3.119    0.006 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:41(opendoc)
     4550    0.021    0.000    0.024    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:439(set_value)
      480    0.021    0.000    0.021    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:16(__init__)
     2400    0.020    0.000    0.097    0.000 C:\ANACONDA3\lib\zipfile.py:1478(open)
     2400    0.020    0.000    1.712    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:110(get_bytes)
     2400    0.019    0.000    0.021    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:47(find)
    27855    0.019    0.000    0.031    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:26(remove_minimal_values)
    20824    0.018    0.000    0.031    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:570(bounds)
     2400    0.018    0.000    0.347    0.000 C:\ANACONDA3\lib\zipfile.py:1218(__init__)
       30    0.018    0.001    0.028    0.001 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:100(get_branch_dual_normal)
     5700    0.018    0.000    1.179    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:59(<listcomp>)
     7200    0.017    0.000    0.050    0.000 C:\ANACONDA3\lib\zipfile.py:757(read)
    11760    0.017    0.000    0.190    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:174(<listcomp>)
       84    0.016    0.000    0.016    0.000 {built-in method nt.stat}
     5700    0.016    0.000    4.874    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:31(init_attributes_by_xmlnode)
     5700    0.016    0.000    4.899    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:30(__init__)
     5550    0.016    0.000    0.305    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:124(row)
    13978    0.016    0.000    0.029    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:82(createSymbol)
     5700    0.016    0.000    4.703    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:17(__init__)
        2    0.015    0.008    0.052    0.026 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:456(_process_soln_mip)
    38061    0.014    0.000    0.021    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:515(__getitem__)
     5700    0.014    0.000    4.934    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:16(wrap)
       15    0.014    0.001    0.023    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:146(get_branch_dual_cont)
    11760    0.014    0.000    0.224    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:173(plaintext)
    14400    0.014    0.000    0.014    0.000 {method 'tell' of '_io.BufferedReader' objects}
       90    0.013    0.000    0.015    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\julia\core.py:544(_call)
     1020    0.013    0.000    0.016    0.000 C:\ANACONDA3\lib\copy.py:128(deepcopy)
       15    0.013    0.001    0.025    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:67(get_branch_pf_cont)
     2123    0.013    0.000    0.013    0.000 C:\ANACONDA3\lib\site-packages\zmq\sugar\socket.py:480(send)
    89310    0.012    0.000    0.012    0.000 {method 'pop' of 'list' objects}
      480    0.012    0.000    2.352    0.005 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:209(__init__)
    24600    0.012    0.000    0.012    0.000 {built-in method _struct.unpack}
    13978    0.012    0.000    0.012    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\label.py:101(__call__)
    42502    0.012    0.000    0.012    0.000 {pyomo.core.expr.numvalue.as_numeric}
     2400    0.012    0.000    0.025    0.000 C:\ANACONDA3\lib\zipfile.py:809(__init__)
     2400    0.012    0.000    0.229    0.000 C:\ANACONDA3\lib\zipfile.py:997(_read1)
     2400    0.012    0.000    0.012    0.000 {method 'timetuple' of 'datetime.datetime' objects}
     5700    0.012    0.000    1.260    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:58(get_min_max_cell_count)
    15156    0.011    0.000    0.011    0.000 {built-in method _codecs.charmap_decode}
     5700    0.011    0.000    4.620    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:152(normalize_table)
45547/45326    0.011    0.000    0.036    0.000 {built-in method builtins.iter}
    44635    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
    49343    0.010    0.000    0.015    0.000 {built-in method builtins.isinstance}
     4800    0.010    0.000    0.057    0.000 C:\ANACONDA3\lib\zipfile.py:214(_EndRecData64)
    25432    0.010    0.000    0.020    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:368(upper)
    27583    0.010    0.000    0.043    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3895(<genexpr>)
    17100    0.010    0.000    0.014    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:74(is_table)
     5700    0.010    0.000    2.794    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:137(align_table_columns)
     5700    0.009    0.000    0.033    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:52(expand_column)
     2400    0.009    0.000    0.010    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:32(set_media_type_and_version)
      480    0.009    0.000    0.020    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:34(__init__)
