         104833812 function calls (104803371 primitive calls) in 8901.458 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75 8808.381  117.445 8874.607  118.328 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:282(run_jl)
       30    0.196    0.007    0.358    0.012 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:84(get_branch_pf_cont)
     6000    0.173    0.000    1.508    0.000 C:\ANACONDA3\lib\zipfile.py:198(is_zipfile)
    60150    0.169    0.000    0.855    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:26(expand_element)
     6002    0.164    0.000    0.164    0.000 {method 'close' of '_io.BufferedReader' objects}
1066059/1060767    0.157    0.000    0.160    0.000 {built-in method builtins.len}
    18450    0.141    0.000   11.498    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:59(<listcomp>)
    60026    0.132    0.000    0.132    0.000 {method 'seek' of '_io.BufferedReader' objects}
        4    0.129    0.032    0.236    0.059 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:324(add_solution)
   132668    0.126    0.000    0.210    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:570(bounds)
   524025    0.118    0.000    0.118    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:20(__init__)
    97826    0.112    0.000    0.206    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:82(createSymbol)
   139070    0.111    0.000    0.135    0.000 C:\ANACONDA3\lib\copy.py:242(_keep_alive)
    13200    0.110    0.000    0.110    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:14(subelement)
        4    0.102    0.025    0.314    0.079 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:456(_process_soln_mip)
   316753    0.101    0.000    0.104    0.000 {pyomo.core.expr.numvalue.as_numeric}
     1560    0.099    0.000    0.433    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:36(trace_pf)
     2400    0.092    0.000    0.092    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:25(_xmlchildren)
     1200    0.087    0.000   14.813    0.012 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:209(__init__)
   265608    0.085    0.000    0.429    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3895(<genexpr>)
    37510    0.084    0.000    0.108    0.000 C:\ANACONDA3\lib\zipfile.py:344(__init__)
    97826    0.083    0.000    0.083    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\label.py:101(__call__)
    38428    0.081    0.000    0.081    0.000 {built-in method _codecs.charmap_decode}
   572250    0.081    0.000    0.081    0.000 {method 'get' of 'dict' objects}
   207227    0.080    0.000    0.170    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:368(upper)
   341062    0.080    0.000    0.080    0.000 {method 'split' of 'str' objects}
        1    0.079    0.079 2384.794 2384.794 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:30(InvPt1_function)
   771248    0.078    0.000    0.078    0.000 {built-in method builtins.id}
    32475    0.078    0.000    1.506    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:124(row)
   200098    0.077    0.000    0.109    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:515(__getitem__)
    12002    0.076    0.000    0.643    0.000 C:\ANACONDA3\lib\zipfile.py:257(_EndRecData)
    17988    0.073    0.000    0.081    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:439(set_value)
   588581    0.072    0.000    0.072    0.000 {method 'pop' of 'list' objects}
        5    0.071    0.014    0.071    0.014 {built-in method _winapi.CreateProcess}
       75    0.070    0.001    0.121    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:130(get_branch_dual_normal)
      174    0.069    0.000    0.069    0.000 {built-in method nt.remove}
   143858    0.069    0.000    0.432    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:495(<genexpr>)
   199611    0.064    0.000    0.117    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:354(lower)
    62100    0.060    0.000    0.060    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:26(__iter__)
      668    0.059    0.000    0.059    0.000 {built-in method nt.stat}
   132318    0.058    0.000    0.512    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1351(_component_data_iter)
    11396    0.055    0.000    0.100    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:367(<listcomp>)
    18450    0.054    0.000   43.911    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:31(init_attributes_by_xmlnode)
    37520    0.053    0.000    0.084    0.000 {method 'decode' of 'bytes' objects}
    18450    0.052    0.000   43.991    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:30(__init__)
    11402    0.051    0.000    0.265    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:351(__init__)
    18450    0.050    0.000   43.072    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:17(__init__)
     6000    0.050    0.000    0.055    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:47(find)
    11386    0.050    0.000    0.433    0.000 C:\ANACONDA3\lib\site-packages\odf\load.py:60(startElementNS)
     6005    0.050    0.000    0.239    0.000 C:\ANACONDA3\lib\zipfile.py:1478(open)
     1200    0.050    0.000    0.050    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:16(__init__)
     6000    0.049    0.000    5.516    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:110(get_bytes)
    66838    0.049    0.000    0.069    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:367(_convert)
      101    0.049    0.000    0.049    0.000 {built-in method io.open_code}
       30    0.047    0.002    0.072    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:255(get_bus_dual_cont)
   172016    0.047    0.000    0.140    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:149(has_lb)
       19    0.047    0.002    0.595    0.031 {method 'Parse' of 'pyexpat.xmlparser' objects}
    29850    0.046    0.000    0.091    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:41(plaintext)
    11391    0.045    0.000    0.495    0.000 C:\ANACONDA3\lib\xml\sax\expatreader.py:338(start_element_ns)
   635911    0.045    0.000    0.045    0.000 {built-in method builtins.abs}
     1561    0.044    0.000    0.044    0.000 {method 'tolist' of 'numpy.ndarray' objects}
    66334    0.044    0.000    0.157    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:458(ub)
    18450    0.043    0.000   44.103    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:16(wrap)
    33295    0.043    0.000    0.163    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:273(__getattr__)
    18015    0.043    0.000    0.142    0.000 C:\ANACONDA3\lib\zipfile.py:757(read)
   153438    0.042    0.000    0.163    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:154(has_ub)
    66334    0.042    0.000    0.155    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:445(lb)
     6002    0.042    0.000    0.826    0.000 C:\ANACONDA3\lib\zipfile.py:1218(__init__)
    96628    0.042    0.000    0.044    0.000 {built-in method builtins.next}
    29850    0.041    0.000    0.208    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:174(<listcomp>)
258983/258981    0.041    0.000    0.055    0.000 {built-in method builtins.isinstance}
   132318    0.040    0.000    0.552    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1425(component_data_objects)
    18450    0.040    0.000   12.226    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:58(get_min_max_cell_count)
    22650    0.039    0.000    0.199    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:52(expand_column)
    18450    0.039    0.000   42.662    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:152(normalize_table)
      225    0.039    0.000    0.042    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\julia\core.py:544(_call)
    18450    0.038    0.000   17.212    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:121(expand_repeated_table_content)
       83    0.038    0.000    0.877    0.011 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:701(construct)
    41666    0.037    0.000    0.641    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\initializer.py:244(__call__)
      990    0.036    0.000    0.039    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:388(genQMax_rule)
   199611    0.035    0.000    0.035    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:324(_lb)
195769/195332    0.035    0.000    0.093    0.000 {built-in method builtins.iter}
   132668    0.035    0.000    0.035    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:572(<listcomp>)
        4    0.034    0.008    0.058    0.015 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:440(select)
   243772    0.034    0.000    0.034    0.000 {method 'replace' of 'str' objects}
   207227    0.033    0.000    0.033    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:339(_ub)
    36022    0.033    0.000    0.033    0.000 {method 'tell' of '_io.BufferedReader' objects}
    29850    0.033    0.000    0.290    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:173(plaintext)
    18450    0.033    0.000    0.762    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:68(__init__)
     6005    0.032    0.000    1.875    0.000 C:\ANACONDA3\lib\zipfile.py:997(_read1)
    21309    0.032    0.000    0.032    0.000 {built-in method _codecs.charmap_encode}
     6000    0.032    0.000    0.032    0.000 {method 'timetuple' of 'datetime.datetime' objects}
    33295    0.031    0.000    0.074    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:317(__getitem__)
    63354    0.031    0.000    0.031    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:141(alias)
    55350    0.031    0.000    0.044    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:74(is_table)
    18450    0.031    0.000   25.390    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:137(align_table_columns)
    61519    0.030    0.000    0.030    0.000 {built-in method _struct.unpack}
     6005    0.030    0.000    0.065    0.000 C:\ANACONDA3\lib\zipfile.py:809(__init__)
    39523    0.030    0.000    0.038    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:142(_nsassign)
     1200    0.029    0.000    0.030    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:51(_setup)
     1500    0.029    0.000    0.029    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:221(<listcomp>)
    41670    0.028    0.000    0.120    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:975(_setitem_when_not_present)
   132668    0.028    0.000    0.039    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:2481(ranges)
   241007    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
   230745    0.027    0.000    0.027    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:411(domain)
     6000    0.026    0.000    0.096    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:24(__init__)
    36900    0.025    0.000    0.033    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:25(add)
    63350    0.025    0.000    0.025    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:408(equality)
     2970    0.025    0.000    0.030    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:635(pwcost_rule)
    11382    0.024    0.000    0.058    0.000 C:\ANACONDA3\lib\site-packages\odf\opendocument.py:176(build_caches)
     6000    0.024    0.000    0.206    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:69(register)
       30    0.024    0.001    0.024    0.001 C:\ANACONDA3\lib\enum.py:543(_find_data_type)
    26475    0.024    0.000    0.024    0.000 {built-in method builtins.min}
    12002    0.024    0.000    0.128    0.000 C:\ANACONDA3\lib\zipfile.py:214(_EndRecData64)
     6000    0.023    0.000    0.024    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:32(set_media_type_and_version)
     1200    0.023    0.000    0.056    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:34(__init__)
       77    0.023    0.000    0.079    0.001 {method 'read' of '_io.TextIOWrapper' objects}
   149876    0.023    0.000    0.023    0.000 {built-in method builtins.getattr}
     2475    0.023    0.000    0.023    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:58(<listcomp>)
    30900    0.022    0.000    1.202    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:129(rows)
   209514    0.022    0.000    0.022    0.000 {method 'lower' of 'str' objects}
    29850    0.022    0.000    0.030    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:24(__init__)
    20700    0.021    0.000    0.024    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:98(rows)
     6005    0.021    0.000    2.173    0.000 C:\ANACONDA3\lib\zipfile.py:1473(read)
    16584    0.020    0.000    0.083    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:495(setAttrNS)
    19650    0.020    0.000    0.056    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:59(name)
    33615    0.020    0.000    0.020    0.000 {built-in method builtins.max}
       75    0.019    0.000    0.147    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:588(output2json)
        3    0.019    0.006    0.019    0.006 {built-in method _imp.create_dynamic}
    22500    0.019    0.000    0.367    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:273(dualVarCon_rule)
    18450    0.019    0.000    0.217    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:35(expand_columns)
    63350    0.018    0.000    0.048    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:311(body)
    18450    0.018    0.000   43.090    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:64(__init__)
    19650    0.018    0.000   44.121    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:23(<genexpr>)
     2475    0.018    0.000    0.135    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:136(<listcomp>)
     6000    0.018    0.000    1.526    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:51(has_zip)
    37511    0.017    0.000    0.017    0.000 {method 'find' of 'str' objects}
    33167    0.017    0.000    0.026    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:169(is_binary)
    32447    0.017    0.000    0.023    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:161(is_integer)
   126057    0.016    0.000    0.016    0.000 {method 'read' of '_io.BytesIO' objects}
    39523    0.016    0.000    0.054    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:402(get_nsprefix)
    37515    0.016    0.000    0.030    0.000 C:\ANACONDA3\lib\encodings\cp437.py:14(decode)
     1200    0.016    0.000    1.123    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:45(__init__)
    11386    0.016    0.000    0.030    0.000 C:\ANACONDA3\lib\site-packages\odf\load.py:105(endElementNS)
    16584    0.016    0.000    0.033    0.000 C:\ANACONDA3\lib\site-packages\odf\attrconverters.py:1600(convert)
   139220    0.015    0.000    0.016    0.000 {built-in method builtins.issubclass}
    31510    0.015    0.000    0.019    0.000 C:\ANACONDA3\lib\zipfile.py:461(_decodeExtra)
    18450    0.015    0.000    0.338    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:26(update)
     4804    0.015    0.000    0.015    0.000 {built-in method zlib.decompressobj}
    84271    0.015    0.000    0.015    0.000 {method 'join' of 'str' objects}
    32447    0.015    0.000    0.021    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:178(is_continuous)
     6005    0.015    0.000    0.027    0.000 C:\ANACONDA3\lib\zipfile.py:1049(close)
     7200    0.015    0.000    0.110    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:22(add)
     4804    0.015    0.000    0.015    0.000 {method 'flush' of 'zlib.Decompress' objects}
     3150    0.015    0.000    0.067    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:22(expand_element)
    11435    0.015    0.000    0.032    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:509(getAttrNS)
    11391    0.014    0.000    0.050    0.000 C:\ANACONDA3\lib\xml\sax\expatreader.py:372(end_element_ns)
        3    0.014    0.005 6507.609 2169.203 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt2.py:83(runACOPF)
    16487    0.014    0.000    0.029    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:205(appendChild)
18522/18192    0.014    0.000    0.019    0.000 C:\ANACONDA3\lib\json\encoder.py:277(_iterencode_list)
      332    0.014    0.000    0.348    0.001 C:\ANACONDA3\lib\site-packages\pyomo\common\sorting.py:98(sorted_robust)
    11382    0.013    0.000    0.102    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:420(addElement)
    16487    0.013    0.000    0.015    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:255(_append_child)
     1200    0.013    0.000   16.636    0.014 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:41(opendoc)
       60    0.013    0.000    0.024    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\arrange_line_order_function.py:11(find_paraline)
    33167    0.013    0.000    0.089    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:103(has_lb)
    33167    0.012    0.000    0.092    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:108(has_ub)
    34950    0.012    0.000    0.020    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\compatibility.py:21(is_string)
     6005    0.012    0.000    0.067    0.000 C:\ANACONDA3\lib\zipfile.py:1033(_read2)
     6000    0.012    0.000    0.012    0.000 {built-in method now}
    11381    0.012    0.000    0.014    0.000 C:\ANACONDA3\lib\xml\sax\xmlreader.py:332(items)
    21006    0.011    0.000    0.024    0.000 {method 'write' of '_io.TextIOWrapper' objects}
18686/14156    0.011    0.000    0.033    0.000 {pyomo.core.expr.numvalue.value}
    63370    0.010    0.000    0.010    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\component.py:980(active)
