         837295 function calls (832930 primitive calls) in 90.914 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      234    0.002    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\zmq\sugar\socket.py:480(send)
     1000    0.002    0.000    0.003    0.000 C:\ANACONDA3\lib\zipfile.py:344(__init__)
   241/47    0.002    0.000    0.016    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:923(add_component)
      380    0.002    0.000    0.100    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
     7002    0.002    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:20(__init__)
     7959    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
     1632    0.002    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:26(__iter__)
      194    0.002    0.000    0.006    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:2021(_getitem_when_not_present)
     1344    0.002    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:570(bounds)
        2    0.002    0.001    0.006    0.003 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:456(_process_soln_mip)
       32    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:16(__init__)
      287    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:439(set_value)
       10    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      924    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:367(_convert)
     1000    0.001    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
      587    0.001    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1270(add)
      160    0.001    0.000    0.006    0.000 C:\ANACONDA3\lib\zipfile.py:1478(open)
        2    0.001    0.001    0.004    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\input_output_function.py:216(output_data2Json)
   241/47    0.001    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:787(_add_implicit_sets)
      784    0.001    0.000    0.003    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:41(plaintext)
     1857    0.001    0.000    0.002    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:26(remove_minimal_values)
      160    0.001    0.000    0.120    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:110(get_bytes)
      160    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:47(find)
     2852    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       33    0.001    0.000    0.681    0.021 <frozen importlib._bootstrap_external>:909(get_code)
      380    0.001    0.000    0.076    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:59(<listcomp>)
      784    0.001    0.000    0.006    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:174(<listcomp>)
      480    0.001    0.000    0.003    0.000 C:\ANACONDA3\lib\zipfile.py:757(read)
        2    0.001    0.001    0.005    0.002 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:208(process_logfile)
        2    0.001    0.001    0.002    0.001 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:100(get_branch_dual_normal)
     2672    0.001    0.000    0.001    0.000 {pyomo.core.expr.numvalue.as_numeric}
      380    0.001    0.000    0.312    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:31(init_attributes_by_xmlnode)
     2193    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:515(__getitem__)
      890    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:82(createSymbol)
      380    0.001    0.000    0.301    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:17(__init__)
      380    0.001    0.000    0.314    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:30(__init__)
