         22091755 function calls (22085182 primitive calls) in 2610.721 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30 2590.339   86.345 2609.436   86.981 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
      480    0.035    0.000    3.694    0.008 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:41(opendoc)
    15000    0.034    0.000    0.044    0.000 C:\ANACONDA3\lib\zipfile.py:344(__init__)
       72    0.033    0.000    0.033    0.000 {built-in method nt.remove}
     2024    0.029    0.000    0.032    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:439(set_value)
    19980    0.029    0.000    0.199    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:52(expand_column)
    24900    0.028    0.000    0.028    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:26(__iter__)
   191066    0.027    0.000    0.028    0.000 {built-in method builtins.getattr}
    11267    0.025    0.000    0.027    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3712(_flatten_product)
        2    0.025    0.012    0.147    0.074 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:257(process_soln_file)
     3360    0.023    0.000    0.111    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:22(expand_element)
     6960    0.023    0.000   13.614    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:31(init_attributes_by_xmlnode)
     6960    0.023    0.000   13.649    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:30(__init__)
    11314    0.022    0.000    0.031    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:368(upper)
     6960    0.022    0.000   13.181    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:17(__init__)
      480    0.022    0.000    0.022    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:16(__init__)
