         49850872 function calls (49829754 primitive calls) in 3728.433 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45 3676.308   81.696 3715.043   82.557 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:249(run_jl)
  8338140    7.341    0.000    8.826    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
     2160    5.518    0.003    8.019    0.004 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
        3    5.293    1.764    5.293    1.764 {built-in method _winapi.WaitForSingleObject}
  6152400    4.329    0.000   11.126    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
  2652660    2.197    0.000    6.302    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
  9699729    1.793    0.000    1.793    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
      227    1.703    0.008    1.703    0.008 {built-in method builtins.print}
  8566560    1.545    0.000    1.545    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
   228420    1.397    0.000    7.699    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
     7312    1.387    0.000    1.389    0.000 {built-in method io.open}
    36720    1.172    0.000    1.183    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
509170/506751    1.165    0.000   12.333    0.000 {built-in method builtins.sum}
   634275    0.989    0.000    2.860    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:61(value)
        2    0.682    0.341    1.613    0.807 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1776(write)
   644310    0.667    0.000    0.667    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:106(get_attr)
     2884    0.659    0.000    0.659    0.000 {method 'decompress' of 'zlib.Decompress' objects}
335610/334170    0.621    0.000   25.344    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:87(wrap)
       47    0.568    0.012    0.568    0.012 C:\ANACONDA3\lib\json\decoder.py:343(raw_decode)
    21645    0.511    0.000    1.305    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:127(<listcomp>)
   478620    0.448    0.000   12.668    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:68(count_cells_in_row)
   634275    0.444    0.000    1.242    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:57(value_type)
   300465    0.435    0.000    0.512    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:47(__init__)
   117090    0.428    0.000    0.453    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
   581310    0.416    0.000    0.416    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:63(convert)
    59490    0.409    0.000    0.540    0.000 C:\ANACONDA3\lib\copy.py:128(deepcopy)
    28923    0.357    0.000    0.357    0.000 {method 'read' of '_io.BufferedReader' objects}
    23400    0.332    0.000    0.332    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:180(<listcomp>)
     7210    0.324    0.000    0.324    0.000 {built-in method zlib.crc32}
   242730    0.287    0.000    0.332    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:94(cols)
       38    0.267    0.007    0.267    0.007 {method 'acquire' of '_thread.lock' objects}
       15    0.266    0.018    0.430    0.029 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:150(get_branch_dual_cont)
   300840    0.237    0.000    0.388    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:27(remove_minimal_values)
   228420    0.226    0.000    0.851    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:100(expand_row)
   228420    0.219    0.000    0.263    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:89(rows)
       15    0.195    0.013    0.361    0.024 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:68(get_branch_pf_cont)
     9180    0.186    0.000    8.743    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:50(normalize)
     9180    0.161    0.000    0.315    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:92(_expand_repeated_content)
        2    0.159    0.079    0.484    0.242 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:257(process_soln_file)
728984/727536    0.154    0.000    0.155    0.000 {built-in method builtins.len}
     3602    0.153    0.000    0.553    0.000 C:\ANACONDA3\lib\zipfile.py:1328(_RealGetContents)
   117161    0.141    0.000    0.150    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3712(_flatten_product)
     9540    0.140    0.000    0.594    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:138(append_cells)
     9180    0.131    0.000    0.133    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:75(update)
     3600    0.124    0.000    1.097    0.000 C:\ANACONDA3\lib\zipfile.py:198(is_zipfile)
     3602    0.119    0.000    0.119    0.000 {method 'close' of '_io.BufferedReader' objects}
     9180    0.107    0.000    7.219    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
