         43964990 function calls (43955840 primitive calls) in 6508.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60 6455.162  107.586 6506.615  108.444 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:249(run_jl)
     1205    0.078    0.000    0.078    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    49920    0.076    0.000    0.076    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:26(__iter__)
    39960    0.076    0.000    0.539    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:52(expand_column)
   382387    0.070    0.000    0.071    0.000 {built-in method builtins.getattr}
    30020    0.065    0.000    0.101    0.000 {method 'decode' of 'bytes' objects}
       18    0.064    0.004    0.064    0.004 {method 'acquire' of '_thread.lock' objects}
     6720    0.064    0.000    0.297    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:22(expand_element)
     2635    0.062    0.000    0.063    0.000 C:\ANACONDA3\lib\xml\sax\xmlreader.py:332(items)
    13920    0.062    0.000   36.919    0.003 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:31(init_attributes_by_xmlnode)
    13920    0.061    0.000   35.759    0.003 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:17(__init__)
    13920    0.060    0.000   37.011    0.003 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:30(__init__)
      138    0.059    0.000    0.059    0.000 {built-in method nt.remove}
    24000    0.058    0.000    0.116    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:41(plaintext)
     4805    0.058    0.000    0.274    0.000 C:\ANACONDA3\lib\zipfile.py:1478(open)
   375054    0.057    0.000    0.057    0.000 {built-in method builtins.issubclass}
     4800    0.057    0.000    4.894    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:110(get_bytes)
    36720    0.055    0.000    0.064    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:98(rows)
     4800    0.055    0.000    0.060    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:47(find)
       62    0.052    0.001    0.052    0.001 C:\ANACONDA3\lib\json\decoder.py:343(raw_decode)
      960    0.051    0.000    0.051    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:16(__init__)
    13920    0.050    0.000   37.142    0.003 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:16(wrap)
    24000    0.049    0.000    0.259    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:174(<listcomp>)
    14415    0.049    0.000    0.151    0.000 C:\ANACONDA3\lib\zipfile.py:757(read)
     4802    0.047    0.000    0.983    0.000 C:\ANACONDA3\lib\zipfile.py:1218(__init__)
    13920    0.043    0.000    9.091    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:58(get_min_max_cell_count)
    13920    0.041    0.000   35.359    0.003 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:152(normalize_table)
    24000    0.041    0.000    0.360    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:173(plaintext)
    28822    0.040    0.000    0.040    0.000 {method 'tell' of '_io.BufferedReader' objects}
    13920    0.039    0.000   25.070    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:137(align_table_columns)
      267    0.038    0.000    0.038    0.000 {built-in method nt.stat}
    49219    0.036    0.000    0.036    0.000 {built-in method _struct.unpack}
    41760    0.036    0.000    0.051    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:74(is_table)
     4805    0.035    0.000    0.752    0.000 C:\ANACONDA3\lib\zipfile.py:997(_read1)
    13920    0.035    0.000   10.224    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:121(expand_repeated_table_content)
185504/183643    0.034    0.000    0.035    0.000 {built-in method builtins.len}
      180    0.034    0.000    0.036    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\julia\core.py:544(_call)
        3    0.033    0.011    0.155    0.052 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:257(process_soln_file)
    13920    0.033    0.000    0.571    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:35(expand_columns)
     4800    0.031    0.000    0.031    0.000 {method 'timetuple' of 'datetime.datetime' objects}
    13920    0.031    0.000    1.071    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:68(__init__)
      960    0.031    0.000    6.916    0.007 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:209(__init__)
     4805    0.030    0.000    0.066    0.000 C:\ANACONDA3\lib\zipfile.py:809(__init__)
     1920    0.029    0.000    0.029    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:25(_xmlchildren)
61530/61292    0.029    0.000    0.103    0.000 {built-in method builtins.iter}
    27840    0.029    0.000    0.036    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:25(add)
     9602    0.028    0.000    0.155    0.000 C:\ANACONDA3\lib\zipfile.py:214(_EndRecData64)
75462/75460    0.028    0.000    0.041    0.000 {built-in method builtins.isinstance}
    19006    0.027    0.000    0.027    0.000 {built-in method builtins.min}
    24000    0.026    0.000    0.036    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:24(__init__)
     4800    0.026    0.000    0.028    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:32(set_media_type_and_version)
      960    0.026    0.000    0.052    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:34(__init__)
     4800    0.026    0.000    0.094    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:24(__init__)
    14880    0.025    0.000    0.070    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:59(name)
     3844    0.024    0.000    0.024    0.000 {method 'flush' of 'zlib.Decompress' objects}
     6361    0.023    0.000    0.027    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    30161    0.023    0.000    0.023    0.000 {built-in method _codecs.charmap_decode}
      960    0.023    0.000    0.024    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:51(_setup)
     4805    0.022    0.000    1.090    0.000 C:\ANACONDA3\lib\zipfile.py:1473(read)
     4800    0.021    0.000    0.210    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:69(register)
    23693    0.021    0.000    0.022    0.000 {built-in method builtins.max}
    13920    0.021    0.000   35.781    0.003 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:64(__init__)
    14880    0.021    0.000   37.163    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:23(<genexpr>)
    15602    0.020    0.000    0.022    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3712(_flatten_product)
    30010    0.020    0.000    0.020    0.000 {method 'find' of 'str' objects}
     2400    0.020    0.000    0.212    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:136(<listcomp>)
     4800    0.019    0.000    1.681    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:51(has_zip)
   100848    0.019    0.000    0.019    0.000 {method 'read' of '_io.BytesIO' objects}
    17280    0.018    0.000    1.286    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:129(rows)
    30015    0.018    0.000    0.037    0.000 C:\ANACONDA3\lib\encodings\cp437.py:14(decode)
    13920    0.017    0.000    0.315    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:26(update)
    25210    0.017    0.000    0.021    0.000 C:\ANACONDA3\lib\zipfile.py:461(_decodeExtra)
     2400    0.017    0.000    0.017    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:58(<listcomp>)
    53653    0.017    0.000    0.017    0.000 {method 'join' of 'str' objects}
      960    0.017    0.000    1.178    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:45(__init__)
     4805    0.016    0.000    0.032    0.000 C:\ANACONDA3\lib\zipfile.py:1049(close)
     2652    0.015    0.000    0.028    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:367(<listcomp>)
       60    0.015    0.000    0.026    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:102(get_branch_dual_normal)
     5760    0.015    0.000    0.119    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:22(add)
    12036    0.015    0.000    0.024    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:570(bounds)
     2641    0.014    0.000    0.181    0.000 C:\ANACONDA3\lib\site-packages\odf\load.py:60(startElementNS)
    31800    0.014    0.000    0.023    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\compatibility.py:21(is_string)
       60    0.014    0.000    0.099    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:555(output2json)
     4805    0.014    0.000    0.060    0.000 C:\ANACONDA3\lib\zipfile.py:1033(_read2)
     2656    0.014    0.000    0.075    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:351(__init__)
     3844    0.014    0.000    0.014    0.000 {built-in method zlib.decompressobj}
    13920    0.013    0.000    0.025    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:116(__init__)
       10    0.013    0.001    0.224    0.022 {method 'Parse' of 'pyexpat.xmlparser' objects}
    62795    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
