         2290778 function calls (2285667 primitive calls) in 112.290 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      528    0.004    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:14(subelement)
        3    0.003    0.001    0.119    0.040 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:257(process_soln_file)
       12    0.003    0.000    0.003    0.000 {built-in method nt.open}
      480    0.003    0.000    0.025    0.000 C:\ANACONDA3\lib\zipfile.py:257(_EndRecData)
     1467    0.003    0.000    0.044    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:124(row)
     1500    0.003    0.000    0.004    0.000 C:\ANACONDA3\lib\zipfile.py:344(__init__)
    20327    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     2490    0.002    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:26(__iter__)
     1998    0.002    0.000    0.016    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:52(expand_column)
15466/13707    0.002    0.000    0.003    0.000 {built-in method builtins.len}
     1219    0.002    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3712(_flatten_product)
     1500    0.002    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
      199    0.002    0.000    0.005    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1912(__init__)
     8901    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
      336    0.002    0.000    0.009    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:22(expand_element)
      240    0.002    0.000    0.009    0.000 C:\ANACONDA3\lib\zipfile.py:1478(open)
    18708    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
     1197    0.002    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:41(plaintext)
      696    0.002    0.000    1.179    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:17(__init__)
      696    0.002    0.000    1.215    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:31(init_attributes_by_xmlnode)
       48    0.002    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:16(__init__)
      696    0.002    0.000    1.218    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:30(__init__)
      240    0.002    0.000    0.163    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:110(get_bytes)
   248/49    0.002    0.000    0.013    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:923(add_component)
      240    0.002    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:47(find)
       36    0.002    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\visitor.py:529(dfs_postorder_stack)
      240    0.002    0.000    0.032    0.000 C:\ANACONDA3\lib\zipfile.py:1218(__init__)
      720    0.002    0.000    0.005    0.000 C:\ANACONDA3\lib\zipfile.py:757(read)
        3    0.002    0.001    0.006    0.002 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:456(_process_soln_mip)
     1197    0.002    0.000    0.009    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:174(<listcomp>)
     1794    0.002    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:98(rows)
      696    0.002    0.000    0.285    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:58(get_min_max_cell_count)
      696    0.002    0.000    1.222    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:16(wrap)
      980    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:367(_convert)
     1204    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:570(bounds)
        9    0.001    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\julia\core.py:544(_call)
      199    0.001    0.000    0.005    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:2021(_getitem_when_not_present)
   248/49    0.001    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:787(_add_implicit_sets)
5026/4801    0.001    0.000    0.004    0.000 {built-in method builtins.iter}
       33    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     1197    0.001    0.000    0.012    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:173(plaintext)
      696    0.001    0.000    1.167    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:152(normalize_table)
        3    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\json\decoder.py:343(raw_decode)
     1440    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BufferedReader' objects}
       95    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      240    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\zipfile.py:809(__init__)
     2460    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
      186    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      240    0.001    0.000    0.023    0.000 C:\ANACONDA3\lib\zipfile.py:997(_read1)
       33    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
     2088    0.001    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:74(is_table)
      696    0.001    0.000    0.793    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:137(align_table_columns)
      413    0.001    0.000    0.014    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:110(process_setarg)
      696    0.001    0.000    0.373    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:121(expand_repeated_table_content)
      212    0.001    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3889(_iter_impl)
     1851    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:515(__getitem__)
       48    0.001    0.000    0.223    0.005 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:209(__init__)
       15    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     1008    0.001    0.000    0.011    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1351(_component_data_iter)
     2165    0.001    0.000    0.001    0.000 {built-in method builtins.max}
   249/52    0.001    0.000    0.018    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:271(__init__)
      240    0.001    0.000    0.001    0.000 {method 'timetuple' of 'datetime.datetime' objects}
      696    0.001    0.000    0.017    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:35(expand_columns)
      397    0.001    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:273(__getattr__)
      138    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:439(set_value)
      696    0.001    0.000    0.033    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:68(__init__)
      480    0.001    0.000    0.005    0.000 C:\ANACONDA3\lib\zipfile.py:214(_EndRecData64)
        6    0.001    0.000    0.001    0.000 {built-in method nt.pipe}
     1197    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:24(__init__)
     7016    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      347    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1270(add)
      759    0.001    0.000    0.001    0.000 {built-in method builtins.next}
      240    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:32(set_media_type_and_version)
       48    0.001    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:34(__init__)
     1392    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:25(add)
     2555    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     4766    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
 1040/651    0.001    0.000    0.005    0.000 {pyomo.core.expr.numvalue.value}
      397    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:317(__getitem__)
     1163    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       48    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\meta.py:51(_setup)
      684    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:82(createSymbol)
        3    0.001    0.000    0.003    0.001 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:208(process_logfile)
     1521    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_decode}
       96    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:25(_xmlchildren)
  594/395    0.001    0.000    0.007    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1982(construct)
      240    0.001    0.000    0.003    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:24(__init__)
       24    0.001    0.000    0.001    0.000 {built-in method nt.close}
     1168    0.001    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:495(<genexpr>)
     1201    0.001    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\visitor.py:789(visiting_potential_leaf)
      240    0.001    0.000    0.007    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:69(register)
      744    0.001    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:59(name)
      240    0.001    0.000    0.034    0.000 C:\ANACONDA3\lib\zipfile.py:1473(read)
      696    0.001    0.000    1.180    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:64(__init__)
      240    0.001    0.000    0.058    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:51(has_zip)
     1431    0.001    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3895(<genexpr>)
      405    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\component.py:388(__init__)
      120    0.001    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:136(<listcomp>)
     1760    0.001    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\component.py:803(parent_block)
      120    0.001    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:58(<listcomp>)
        3    0.001    0.000    0.005    0.002 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:552(output2json)
